Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
64.52,0.725182772,3.310267687,9.327662468,990.7368164,9.856283149,990.7296749,0,0,
64.56,0.799277306,3.298351049,9.133552551,990.7193604,9.856272291,990.7295662,0,0,
64.6,0.863812447,3.279284716,9.010457993,990.729126,9.855439014,990.7294681,0,0,
64.64,0.959415913,3.36269927,8.944176674,990.7015381,9.853795617,990.7292804,0,0,
64.68,0.856657743,3.234002113,9.166695595,990.7419434,9.85199908,990.7291598,0,0,
64.72,0.651133776,3.138670683,8.974952698,990.7217407,9.849253235,990.729026,0,0,
64.76,0.80409503,3.393681288,9.152493477,990.7268677,9.846629808,990.7288996,0,0,
64.8,0.610520661,3.27690053,9.251915932,990.7571411,9.844266496,990.7288891,0,0,
64.84,0.739582896,3.469945908,9.597529411,990.7294312,9.843575209,990.7288814,0,0,
64.88,0.615315557,3.33886528,9.737194061,990.7091675,9.844651105,990.7288031,0,0,
64.92,0.51016748,3.267366886,9.479170799,990.7469482,9.846303052,990.7287988,0,0,
64.96,0.562752962,3.310265779,9.318201065,990.7469482,9.847972998,990.7288599,0,0,
65,0.546031237,3.22923398,9.133560181,990.7419434,9.848926621,990.7289606,0,0,
65.04,0.584277272,3.164885283,9.351344109,990.7445679,9.849915904,990.7291053,0,0,
65.08,0.562775731,3.131519318,9.453133583,990.7572632,9.851237489,990.7293341,0,0,
65.12,0.601021767,3.129135847,9.801113129,990.762207,9.854042539,990.7296541,0,0,
65.16,0.737253666,3.22208333,9.604636192,990.7193604,9.857613451,990.7298994,0,0,
65.2,0.813738108,3.317414522,9.379752159,990.7393188,9.861217729,990.7301496,0,0,
65.24,0.7659477,3.264981985,9.204579353,990.7520142,9.864169417,990.730449,0,0,
65.28,0.797024012,3.362696409,8.982064247,990.7090454,9.865912742,990.730636,0,0,
65.32,0.589110136,3.160117626,9.143033981,990.7393188,9.866825864,990.730832,0,0,
65.36,0.483962059,3.06955266,9.109894753,990.7518311,9.866763231,990.7310804,0,0,
65.4,0.480886757,3.107702017,9.133502007,990.7393188,9.865962478,990.7313291,0,0,
65.44,0.406779587,3.071953297,9.396260262,990.7217407,9.865356016,990.7315139,0,0,
65.48,0.531034231,3.183967829,9.206881523,990.7470703,9.864427712,990.7317327,0,0,
65.52,0.667238414,3.243550062,9.244757652,990.6938477,9.863447328,990.7317893,0,0,
65.56,0.717406154,3.284066677,9.443599701,990.7317505,9.863159184,990.7318387,0,0,
65.6,0.695876837,3.241168261,9.47200489,990.7192383,9.863524469,990.7318365,0,0,
65.64,0.619379699,3.174436808,9.341806412,990.7218628,9.863927603,990.7317982,0,0,
65.68,0.707785845,3.186353683,9.464899063,990.7317505,9.864816505,990.7317638,0,0,
